entity_id,dt_url,pic_url,label_color,label_index,sku
182,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/Datablad Mino Ada.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/792001190_Energimærke.png,green,AA,792001190
183,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/792001200_datablad.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/792001200_energimærke.jpg,lightgreen,A,792001200
184,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/792001330_Datablad.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/792001330_Energimærke.jpg,darkorange,D,792001330
185,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/792001340_Datablad.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/792001340_Energimærke.jpg,darkorange,D,792001340
186,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/792001350_Datablad.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/792001350_Energimærke.jpg,darkorange,D,792001350
187,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/792001360_Datablad.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/792001360_Energimærke.jpg,darkorange,D,792001360
188,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/792001410_Datablad.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/792001410_Energimærke.jpg,darkorange,D,792001410
189,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/792001440_Datablad.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/792001440_Energimærke.jpg,green,A,792001440
190,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/792001640_Datablad.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/792001640_Energimærke.jpg,darkgreen,AA,792001640
191,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/792001670_Datablad.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/792001670_Energimærke.jpg,green,AA,792001670
192,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/792001055_datablad.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/792001055_energimærke.jpg,darkorange,D,792001055
193,,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/636385100_Datablad_2.pdf,green,B,636385100
194,,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/636385110_energimærke.jpg,green,B,636385110
